field_name,dm_address,data_type,raw_word_1,raw_word_2,decoded_value
BATCH,D6000,INT,1,,1
NO_MO,D6001-6008,ASCII,22344|12109|20271|12336|12337|12544|0|0,,WH/MO/00011
NO_BOM,D6009-6016,ASCII,23345|12336|14642|23840|19014|8275|16720|20308,,JF SUPER 2A 25
FINISHED_GOODS,D6017-6024,ASCII,23345|12336|14642|23840|19014|8275|16720|20308,,JF SUPER 2A 25
QUANTITY_GOODS,D6025-6026,REAL,1,34464,22586327.05
SILO_ID_101,D6027,INT,101,,101
SILO_ID_101_CONSUMPTION,D6028-6029,REAL,102,0,6684.72
SILO_ID_102,D6030,INT,13700,,13700
SILO_ID_102_CONSUMPTION,D6031-6032,REAL,103,0,6750.08
SILO_ID_103,D6033,INT,35200,,35200
SILO_ID_103_CONSUMPTION,D6034-6035,REAL,104,0,6815.44
SILO_ID_104,D6036,INT,4500,,4500
SILO_ID_104_CONSUMPTION,D6037-6038,REAL,106,0,6946.16
SILO_ID_105,D6039,INT,107,,107
SILO_ID_105_CONSUMPTION,D6040-6041,REAL,0,13500,8847360.00
SILO_ID_106,D6042,INT,108,,108
SILO_ID_106_CONSUMPTION,D6043-6044,REAL,0,9400,6160384.00
SILO_ID_107,D6045,INT,109,,109
SILO_ID_107_CONSUMPTION,D6046-6047,REAL,0,109,71434.24
SILO_ID_108,D6048,INT,110,,110
SILO_ID_108_CONSUMPTION,D6049-6050,REAL,2100,111,72765.96
SILO_ID_109,D6051,INT,112,,112
SILO_ID_109_CONSUMPTION,D6052-6053,REAL,0,0,0.00
SILO_ID_110,D6054,INT,113,,113
SILO_ID_110_CONSUMPTION,D6055-6056,REAL,0,2200,1441792.00
SILO_ID_111,D6057,INT,114,,114
SILO_ID_111_CONSUMPTION,D6058-6059,REAL,0,2300,1507328.00
SILO_ID_112,D6060,INT,115,,115
SILO_ID_112_CONSUMPTION,D6061-6062,REAL,0,2300,1507328.00
STATUS_MANUFACTURING,D6063,BOOLEAN,1,,FINISHED
STATUS_OPERATION,D6064,BOOLEAN,0,,RUN
WEIGHT_FINISHED_GOOD,D6065-6066,REAL,0,0,0.00
STATUS_READ_DATA,D6067,BOOLEAN,0,,IDLE
