snapshot_time_utc,batch_no,field_no,field_name,dm_address,data_type,scale,raw_words,decoded_value,normalized_value,decode_error
2026-03-03T15:10:29.533388+00:00,2,1,BATCH,D6100,INT,1,2,2,2,
2026-03-03T15:10:29.533388+00:00,2,2,NO-MO,D6101-6108,ASCII,,22344|12109|20271|12336|12337|12800|0|0,WH/MO/00012,WH/MO/00012,
2026-03-03T15:10:29.533388+00:00,2,3,NO-BoM,D6109-6116,ASCII,,23345|12336|14387|23840|19014|8272|19541|21280,[10083] JF PLUS ,[10083] JF PLUS ,
2026-03-03T15:10:29.533388+00:00,2,4,finished_goods,D6117-6124,ASCII,,23345|12336|14387|23840|19014|8272|19541|21280,[10083] JF PLUS ,[10083] JF PLUS ,
2026-03-03T15:10:29.533388+00:00,2,5,Quantity Goods_id,D6125-6126,REAL,100,1|34464,1000.0,1000.0,
2026-03-03T15:10:29.533388+00:00,2,6,SILO ID 101 (SILO BESAR),D6127,INT,1,101,101,101,
2026-03-03T15:10:29.533388+00:00,2,7,SILO ID 101 Consumption,D6128-6129,REAL,100,0|8100,81.0,81.0,
2026-03-03T15:10:29.533388+00:00,2,8,SILO ID 102 (SILO BESAR),D6130,INT,1,102,102,102,
2026-03-03T15:10:29.533388+00:00,2,9,SILO ID 102 Consumption,D6131-6132,REAL,100,0|13700,137.0,137.0,
2026-03-03T15:10:29.533388+00:00,2,10,SILO ID 103 (SILO BESAR),D6133,INT,1,103,103,103,
2026-03-03T15:10:29.533388+00:00,2,11,SILO ID 103 Consumption,D6134-6135,REAL,100,0|35200,352.0,352.0,
2026-03-03T15:10:29.533388+00:00,2,12,SILO ID 104,D6136,INT,1,104,104,104,
2026-03-03T15:10:29.533388+00:00,2,13,SILO ID 104 Consumption,D6137-6138,REAL,100,0|0,0.0,0.0,
2026-03-03T15:10:29.533388+00:00,2,14,SILO ID 105,D6139,INT,1,105,105,105,
2026-03-03T15:10:29.533388+00:00,2,15,SILO ID 105 Consumption,D6140-6141,REAL,100,0|4500,45.0,45.0,
2026-03-03T15:10:29.533388+00:00,2,16,SILO ID 106,D6142,INT,1,106,106,106,
2026-03-03T15:10:29.533388+00:00,2,17,SILO ID 106 Consumption,D6143-6144,REAL,100,0|0,0.0,0.0,
2026-03-03T15:10:29.533388+00:00,2,18,SILO ID 107,D6145,INT,1,107,107,107,
2026-03-03T15:10:29.533388+00:00,2,19,SILO ID 107 Consumption,D6146-6147,REAL,100,0|13500,135.0,135.0,
2026-03-03T15:10:29.533388+00:00,2,20,SILO ID 108,D6148,INT,1,108,108,108,
2026-03-03T15:10:29.533388+00:00,2,21,SILO ID 108 Consumption,D6149-6150,REAL,100,0|9400,94.0,94.0,
2026-03-03T15:10:29.533388+00:00,2,22,SILO ID 109,D6151,INT,1,109,109,109,
2026-03-03T15:10:29.533388+00:00,2,23,SILO ID 109 Consumption,D6152-6153,REAL,100,0|0,0.0,0.0,
2026-03-03T15:10:29.533388+00:00,2,24,SILO ID 110,D6154,INT,1,109,109,109,
2026-03-03T15:10:29.533388+00:00,2,25,SILO ID 110 Consumption,D6155-6156,REAL,100,110|2100,72110.6,21.0,
2026-03-03T15:10:29.533388+00:00,2,26,SILO ID 111,D6157,INT,1,111,111,111,
2026-03-03T15:10:29.533388+00:00,2,27,SILO ID 111 Consumption,D6158-6159,REAL,100,0|1100,11.0,11.0,
2026-03-03T15:10:29.533388+00:00,2,28,SILO ID 112,D6160,INT,1,112,112,112,
2026-03-03T15:10:29.533388+00:00,2,29,SILO ID 112 Consumption,D6161-6162,REAL,100,0|0,0.0,0.0,
2026-03-03T15:10:29.533388+00:00,2,30,SILO ID 113,D6163,INT,1,113,113,113,
2026-03-03T15:10:29.533388+00:00,2,31,SILO ID 113 Consumption,D6164-6165,REAL,100,0|2200,22.0,22.0,
2026-03-03T15:10:29.533388+00:00,2,32,LQ ID 114,D6166,INT,1,114,114,114,
2026-03-03T15:10:29.533388+00:00,2,33,LQ ID 114 Consumption,D6167-6168,REAL,100,0|2300,23.0,23.0,
2026-03-03T15:10:29.533388+00:00,2,34,LQ ID 115,D6169,INT,1,115,115,115,
2026-03-03T15:10:29.533388+00:00,2,35,LQ ID 115 Consumption,D6170-6171,REAL,100,0|2300,23.0,23.0,
2026-03-03T15:10:29.533388+00:00,2,36,status manufaturing,D6172,boolean,,1,True,True,
2026-03-03T15:10:29.533388+00:00,2,37,Status Operation,D6173,boolean,,0,False,False,
2026-03-03T15:10:29.533388+00:00,2,38,weight_finished_good,D6174-6175,REAL,100,0|0,0.0,0.0,
2026-03-03T15:10:29.533388+00:00,2,39,status_read_data,D6176,boolean,,0,False,False,
