snapshot_time_utc,batch_no,field_no,field_name,dm_address,data_type,scale,raw_words,raw_hex_words,raw_dword_hex,decoded_value,normalized_value,decode_error
2026-03-06T13:47:19.262483+00:00,10,1,BATCH,D6900,INT,1,10,000A,,10,10,
2026-03-06T13:47:19.262483+00:00,10,2,NO-MO,D6901-6908,ASCII,,22344|12109|20271|12336|12338|12288|0|0,5748 2F4D 4F2F 3030 3032 3000 0000 0000,2F4D5748,WH/MO/00020,WH/MO/00020,
2026-03-06T13:47:19.262483+00:00,10,3,NO-BoM,D6909-6916,ASCII,,23345|12336|13877|23840|19014|8275|21840|17746,5B31 3030 3635 5D20 4A46 2053 5550 4552,30305B31,[10065] JF SUPER,[10065] JF SUPER,
2026-03-06T13:47:19.262483+00:00,10,4,finished_goods,D6917-6924,ASCII,,23345|12336|13877|23840|19014|8275|21840|17746,5B31 3030 3635 5D20 4A46 2053 5550 4552,30305B31,[10065] JF SUPER,[10065] JF SUPER,
2026-03-06T13:47:19.262483+00:00,10,5,Quantity Goods_id,D6925-6926,REAL,100,1|34464,0001 86A0,86A00001,1000.0,1000.0,
2026-03-06T13:47:19.262483+00:00,10,6,SILO ID 101 (SILO BESAR),D6927,INT,1,101,0065,,101,101,
2026-03-06T13:47:19.262483+00:00,10,7,SILO ID 101 Consumption,D6928-6929,REAL,100,0|9000,0000 2328,23280000,90.0,90.0,
2026-03-06T13:47:19.262483+00:00,10,8,SILO ID 102 (SILO BESAR),D6930,INT,1,102,0066,,102,102,
2026-03-06T13:47:19.262483+00:00,10,9,SILO ID 102 Consumption,D6931-6932,REAL,100,0|12000,0000 2EE0,2EE00000,120.0,120.0,
2026-03-06T13:47:19.262483+00:00,10,10,SILO ID 103 (SILO BESAR),D6933,INT,1,103,0067,,103,103,
2026-03-06T13:47:19.262483+00:00,10,11,SILO ID 103 Consumption,D6934-6935,REAL,100,0|33400,0000 8278,82780000,334.0,334.0,
2026-03-06T13:47:19.262483+00:00,10,12,SILO ID 104,D6936,INT,1,104,0068,,104,104,
2026-03-06T13:47:19.262483+00:00,10,13,SILO ID 104 Consumption,D6937-6938,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-06T13:47:19.262483+00:00,10,14,SILO ID 105,D6939,INT,1,105,0069,,105,105,
2026-03-06T13:47:19.262483+00:00,10,15,SILO ID 105 Consumption,D6940-6941,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-06T13:47:19.262483+00:00,10,16,SILO ID 106,D6942,INT,1,106,006A,,106,106,
2026-03-06T13:47:19.262483+00:00,10,17,SILO ID 106 Consumption,D6943-6944,REAL,100,0|2000,0000 07D0,07D00000,20.0,20.0,
2026-03-06T13:47:19.262483+00:00,10,18,SILO ID 107,D6945,INT,1,107,006B,,107,107,
2026-03-06T13:47:19.262483+00:00,10,19,SILO ID 107 Consumption,D6946-6947,REAL,100,0|5000,0000 1388,13880000,50.0,50.0,
2026-03-06T13:47:19.262483+00:00,10,20,SILO ID 108,D6948,INT,1,108,006C,,108,108,
2026-03-06T13:47:19.262483+00:00,10,21,SILO ID 108 Consumption,D6949-6950,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-06T13:47:19.262483+00:00,10,22,SILO ID 109,D6951,INT,1,109,006D,,109,109,
2026-03-06T13:47:19.262483+00:00,10,23,SILO ID 109 Consumption,D6952-6953,REAL,100,0|2000,0000 07D0,07D00000,20.0,20.0,
2026-03-06T13:47:19.262483+00:00,10,24,SILO ID 110,D6954,INT,1,110,006E,,110,110,
2026-03-06T13:47:19.262483+00:00,10,25,SILO ID 110 Consumption,D6955-6956,REAL,100,0|8500,0000 2134,21340000,85.0,85.0,
2026-03-06T13:47:19.262483+00:00,10,26,SILO ID 111,D6957,INT,1,111,006F,,111,111,
2026-03-06T13:47:19.262483+00:00,10,27,SILO ID 111 Consumption,D6958-6959,REAL,100,0|9000,0000 2328,23280000,90.0,90.0,
2026-03-06T13:47:19.262483+00:00,10,28,SILO ID 112,D6960,INT,1,112,0070,,112,112,
2026-03-06T13:47:19.262483+00:00,10,29,SILO ID 112 Consumption,D6961-6962,REAL,100,0|1500,0000 05DC,05DC0000,15.0,15.0,
2026-03-06T13:47:19.262483+00:00,10,30,SILO ID 113,D6963,INT,1,113,0071,,113,113,
2026-03-06T13:47:19.262483+00:00,10,31,SILO ID 113 Consumption,D6964-6965,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-06T13:47:19.262483+00:00,10,32,LQ ID 114,D6966,INT,1,114,0072,,114,114,
2026-03-06T13:47:19.262483+00:00,10,33,LQ ID 114 Consumption,D6967-6968,REAL,100,0|5000,0000 1388,13880000,50.0,50.0,
2026-03-06T13:47:19.262483+00:00,10,34,LQ ID 115,D6969,INT,1,115,0073,,115,115,
2026-03-06T13:47:19.262483+00:00,10,35,LQ ID 115 Consumption,D6970-6971,REAL,100,0|2000,0000 07D0,07D00000,20.0,20.0,
2026-03-06T13:47:19.262483+00:00,10,36,status manufaturing,D6972,boolean,,1,0001,,True,True,
2026-03-06T13:47:19.262483+00:00,10,37,Status Operation,D6973,boolean,,0,0000,,False,False,
2026-03-06T13:47:19.262483+00:00,10,38,weight_finished_good,D6974-6975,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-06T13:47:19.262483+00:00,10,39,status_read_data,D6976,boolean,,0,0000,,False,False,
