snapshot_time_utc,batch_no,field_no,field_name,dm_address,data_type,scale,raw_words,decoded_value,normalized_value,decode_error
2026-03-04T10:12:46.755558+00:00,5,1,BATCH,D6400,INT,1,5,5,5,
2026-03-04T10:12:46.755558+00:00,5,2,NO-MO,D6401-6408,ASCII,,22344|12109|20271|12336|12337|13568|0|0,WH/MO/00015,WH/MO/00015,
2026-03-04T10:12:46.755558+00:00,5,3,NO-BoM,D6409-6416,ASCII,,23345|12336|13878|23840|19014|8275|21840|17746,[10066] JF SUPER,[10066] JF SUPER,
2026-03-04T10:12:46.755558+00:00,5,4,finished_goods,D6417-6424,ASCII,,23345|12336|13878|23840|19014|8275|21840|17746,[10066] JF SUPER,[10066] JF SUPER,
2026-03-04T10:12:46.755558+00:00,5,5,Quantity Goods_id,D6425-6426,REAL,100,1|34464,1000.0,1000.0,
2026-03-04T10:12:46.755558+00:00,5,6,SILO ID 101 (SILO BESAR),D6427,INT,1,101,101,101,
2026-03-04T10:12:46.755558+00:00,5,7,SILO ID 101 Consumption,D6428-6429,REAL,100,0|5200,52.0,52.0,
2026-03-04T10:12:46.755558+00:00,5,8,SILO ID 102 (SILO BESAR),D6430,INT,1,102,102,102,
2026-03-04T10:12:46.755558+00:00,5,9,SILO ID 102 Consumption,D6431-6432,REAL,100,0|12000,120.0,120.0,
2026-03-04T10:12:46.755558+00:00,5,10,SILO ID 103 (SILO BESAR),D6433,INT,1,103,103,103,
2026-03-04T10:12:46.755558+00:00,5,11,SILO ID 103 Consumption,D6434-6435,REAL,100,0|33000,330.0,330.0,
2026-03-04T10:12:46.755558+00:00,5,12,SILO ID 104,D6436,INT,1,104,104,104,
2026-03-04T10:12:46.755558+00:00,5,13,SILO ID 104 Consumption,D6437-6438,REAL,100,0|5000,50.0,50.0,
2026-03-04T10:12:46.755558+00:00,5,14,SILO ID 105,D6439,INT,1,105,105,105,
2026-03-04T10:12:46.755558+00:00,5,15,SILO ID 105 Consumption,D6440-6441,REAL,100,0|0,0.0,0.0,
2026-03-04T10:12:46.755558+00:00,5,16,SILO ID 106,D6442,INT,1,106,106,106,
2026-03-04T10:12:46.755558+00:00,5,17,SILO ID 106 Consumption,D6443-6444,REAL,100,0|1000,10.0,10.0,
2026-03-04T10:12:46.755558+00:00,5,18,SILO ID 107,D6445,INT,1,107,107,107,
2026-03-04T10:12:46.755558+00:00,5,19,SILO ID 107 Consumption,D6446-6447,REAL,100,0|0,0.0,0.0,
2026-03-04T10:12:46.755558+00:00,5,20,SILO ID 108,D6448,INT,1,108,108,108,
2026-03-04T10:12:46.755558+00:00,5,21,SILO ID 108 Consumption,D6449-6450,REAL,100,0|0,0.0,0.0,
2026-03-04T10:12:46.755558+00:00,5,22,SILO ID 109,D6451,INT,1,109,109,109,
2026-03-04T10:12:46.755558+00:00,5,23,SILO ID 109 Consumption,D6452-6453,REAL,100,0|7000,70.0,70.0,
2026-03-04T10:12:46.755558+00:00,5,24,SILO ID 110,D6454,INT,1,109,109,109,
2026-03-04T10:12:46.755558+00:00,5,25,SILO ID 110 Consumption,D6455-6456,REAL,100,110|10000,72189.6,100.0,
2026-03-04T10:12:46.755558+00:00,5,26,SILO ID 111,D6457,INT,1,111,111,111,
2026-03-04T10:12:46.755558+00:00,5,27,SILO ID 111 Consumption,D6458-6459,REAL,100,0|10000,100.0,100.0,
2026-03-04T10:12:46.755558+00:00,5,28,SILO ID 112,D6460,INT,1,112,112,112,
2026-03-04T10:12:46.755558+00:00,5,29,SILO ID 112 Consumption,D6461-6462,REAL,100,0|2000,20.0,20.0,
2026-03-04T10:12:46.755558+00:00,5,30,SILO ID 113,D6463,INT,1,113,113,113,
2026-03-04T10:12:46.755558+00:00,5,31,SILO ID 113 Consumption,D6464-6465,REAL,100,0|0,0.0,0.0,
2026-03-04T10:12:46.755558+00:00,5,32,LQ ID 114,D6466,INT,1,114,114,114,
2026-03-04T10:12:46.755558+00:00,5,33,LQ ID 114 Consumption,D6467-6468,REAL,100,0|0,0.0,0.0,
2026-03-04T10:12:46.755558+00:00,5,34,LQ ID 115,D6469,INT,1,115,115,115,
2026-03-04T10:12:46.755558+00:00,5,35,LQ ID 115 Consumption,D6470-6471,REAL,100,0|0,0.0,0.0,
2026-03-04T10:12:46.755558+00:00,5,36,status manufaturing,D6472,boolean,,1,True,True,
2026-03-04T10:12:46.755558+00:00,5,37,Status Operation,D6473,boolean,,0,False,False,
2026-03-04T10:12:46.755558+00:00,5,38,weight_finished_good,D6474-6475,REAL,100,0|0,0.0,0.0,
2026-03-04T10:12:46.755558+00:00,5,39,status_read_data,D6476,boolean,,0,False,False,
