snapshot_time_utc,batch_no,field_no,field_name,dm_address,data_type,scale,raw_words,raw_hex_words,raw_dword_hex,decoded_value,normalized_value,decode_error
2026-03-07T07:33:02.405455+00:00,10,1,BATCH,D6900,INT,1,0,0000,,0,10,
2026-03-07T07:33:02.405455+00:00,10,2,NO-MO,D6901-6908,ASCII,,0|0|0|0|0|0|0|0,0000 0000 0000 0000 0000 0000 0000 0000,00000000,,,
2026-03-07T07:33:02.405455+00:00,10,3,NO-BoM,D6909-6916,ASCII,,0|0|0|0|0|0|0|0,0000 0000 0000 0000 0000 0000 0000 0000,00000000,,,
2026-03-07T07:33:02.405455+00:00,10,4,finished_goods,D6917-6924,ASCII,,0|0|0|0|0|0|0|0,0000 0000 0000 0000 0000 0000 0000 0000,00000000,,,
2026-03-07T07:33:02.405455+00:00,10,5,Quantity Goods_id,D6925-6926,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-07T07:33:02.405455+00:00,10,6,SILO ID 101 (SILO BESAR),D6927,INT,1,0,0000,,0,101,
2026-03-07T07:33:02.405455+00:00,10,7,SILO ID 101 Consumption,D6928-6929,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-07T07:33:02.405455+00:00,10,8,SILO ID 102 (SILO BESAR),D6930,INT,1,0,0000,,0,102,
2026-03-07T07:33:02.405455+00:00,10,9,SILO ID 102 Consumption,D6931-6932,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-07T07:33:02.405455+00:00,10,10,SILO ID 103 (SILO BESAR),D6933,INT,1,0,0000,,0,103,
2026-03-07T07:33:02.405455+00:00,10,11,SILO ID 103 Consumption,D6934-6935,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-07T07:33:02.405455+00:00,10,12,SILO ID 104,D6936,INT,1,0,0000,,0,104,
2026-03-07T07:33:02.405455+00:00,10,13,SILO ID 104 Consumption,D6937-6938,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-07T07:33:02.405455+00:00,10,14,SILO ID 105,D6939,INT,1,0,0000,,0,105,
2026-03-07T07:33:02.405455+00:00,10,15,SILO ID 105 Consumption,D6940-6941,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-07T07:33:02.405455+00:00,10,16,SILO ID 106,D6942,INT,1,0,0000,,0,106,
2026-03-07T07:33:02.405455+00:00,10,17,SILO ID 106 Consumption,D6943-6944,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-07T07:33:02.405455+00:00,10,18,SILO ID 107,D6945,INT,1,0,0000,,0,107,
2026-03-07T07:33:02.405455+00:00,10,19,SILO ID 107 Consumption,D6946-6947,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-07T07:33:02.405455+00:00,10,20,SILO ID 108,D6948,INT,1,0,0000,,0,108,
2026-03-07T07:33:02.405455+00:00,10,21,SILO ID 108 Consumption,D6949-6950,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-07T07:33:02.405455+00:00,10,22,SILO ID 109,D6951,INT,1,0,0000,,0,109,
2026-03-07T07:33:02.405455+00:00,10,23,SILO ID 109 Consumption,D6952-6953,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-07T07:33:02.405455+00:00,10,24,SILO ID 110,D6954,INT,1,0,0000,,0,110,
2026-03-07T07:33:02.405455+00:00,10,25,SILO ID 110 Consumption,D6955-6956,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-07T07:33:02.405455+00:00,10,26,SILO ID 111,D6957,INT,1,0,0000,,0,111,
2026-03-07T07:33:02.405455+00:00,10,27,SILO ID 111 Consumption,D6958-6959,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-07T07:33:02.405455+00:00,10,28,SILO ID 112,D6960,INT,1,0,0000,,0,112,
2026-03-07T07:33:02.405455+00:00,10,29,SILO ID 112 Consumption,D6961-6962,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-07T07:33:02.405455+00:00,10,30,SILO ID 113,D6963,INT,1,0,0000,,0,113,
2026-03-07T07:33:02.405455+00:00,10,31,SILO ID 113 Consumption,D6964-6965,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-07T07:33:02.405455+00:00,10,32,LQ ID 114,D6966,INT,1,0,0000,,0,114,
2026-03-07T07:33:02.405455+00:00,10,33,LQ ID 114 Consumption,D6967-6968,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-07T07:33:02.405455+00:00,10,34,LQ ID 115,D6969,INT,1,0,0000,,0,115,
2026-03-07T07:33:02.405455+00:00,10,35,LQ ID 115 Consumption,D6970-6971,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-07T07:33:02.405455+00:00,10,36,status manufaturing,D6972,boolean,,0,0000,,False,False,
2026-03-07T07:33:02.405455+00:00,10,37,Status Operation,D6973,boolean,,0,0000,,False,False,
2026-03-07T07:33:02.405455+00:00,10,38,weight_finished_good,D6974-6975,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-07T07:33:02.405455+00:00,10,39,status_read_data,D6976,boolean,,0,0000,,False,False,
